subject,congruency,taskSequence,switchProp,incongruentProp,mean_acc
sub41,c,r,25%,25%,0.941747572815534
sub41,c,r,25%,75%,1
sub41,c,r,75%,25%,1
sub41,c,r,75%,75%,0.9583333333333334
sub41,c,s,25%,25%,1
sub41,c,s,25%,75%,0.9583333333333334
sub41,c,s,75%,25%,0.941747572815534
sub41,c,s,75%,75%,0.9375
sub41,i,r,25%,25%,0.875
sub41,i,r,25%,75%,0.9320388349514563
sub41,i,r,75%,25%,0.8333333333333334
sub41,i,r,75%,75%,0.9375
sub41,i,s,25%,25%,0.7083333333333334
sub41,i,s,25%,75%,0.8125
sub41,i,s,75%,25%,0.875
sub41,i,s,75%,75%,0.883495145631068
sub42,c,r,25%,25%,0.941747572815534
sub42,c,r,25%,75%,1
sub42,c,r,75%,25%,1
sub42,c,r,75%,75%,0.9583333333333334
sub42,c,s,25%,25%,0.75
sub42,c,s,25%,75%,0.8333333333333334
sub42,c,s,75%,25%,0.9611650485436893
sub42,c,s,75%,75%,0.875
sub42,i,r,25%,25%,0.9375
sub42,i,r,25%,75%,0.9611650485436893
sub42,i,r,75%,25%,0.75
sub42,i,r,75%,75%,1
sub42,i,s,25%,25%,0.7916666666666666
sub42,i,s,25%,75%,0.75
sub42,i,s,75%,25%,0.6875
sub42,i,s,75%,75%,0.7669902912621359
sub43,c,r,25%,25%,0.9611650485436893
sub43,c,r,25%,75%,0.875
sub43,c,r,75%,25%,1
sub43,c,r,75%,75%,1
sub43,c,s,25%,25%,1
sub43,c,s,25%,75%,0.9583333333333334
sub43,c,s,75%,25%,0.9902912621359223
sub43,c,s,75%,75%,0.8125
sub43,i,r,25%,25%,0.875
sub43,i,r,25%,75%,0.9223300970873787
sub43,i,r,75%,25%,0.6666666666666666
sub43,i,r,75%,75%,0.9375
sub43,i,s,25%,25%,0.625
sub43,i,s,25%,75%,0.75
sub43,i,s,75%,25%,0.6875
sub43,i,s,75%,75%,0.8058252427184466
sub44,c,r,25%,25%,0.8932038834951457
sub44,c,r,25%,75%,0.9375
sub44,c,r,75%,25%,0.8125
sub44,c,r,75%,75%,0.7916666666666666
sub44,c,s,25%,25%,0.625
sub44,c,s,25%,75%,0.7916666666666666
sub44,c,s,75%,25%,0.7669902912621359
sub44,c,s,75%,75%,0.625
sub44,i,r,25%,25%,0.75
sub44,i,r,25%,75%,0.883495145631068
sub44,i,r,75%,25%,0.5833333333333334
sub44,i,r,75%,75%,0.6875
sub44,i,s,25%,25%,0.6666666666666666
sub44,i,s,25%,75%,0.625
sub44,i,s,75%,25%,0.5625
sub44,i,s,75%,75%,0.5922330097087378
sub45,c,r,25%,25%,0.9223300970873787
sub45,c,r,25%,75%,0.875
sub45,c,r,75%,25%,0.875
sub45,c,r,75%,75%,0.75
sub45,c,s,25%,25%,1
sub45,c,s,25%,75%,0.75
sub45,c,s,75%,25%,0.8932038834951457
sub45,c,s,75%,75%,0.8125
sub45,i,r,25%,25%,0.75
sub45,i,r,25%,75%,0.9223300970873787
sub45,i,r,75%,25%,0.875
sub45,i,r,75%,75%,0.9375
sub45,i,s,25%,25%,0.7083333333333334
sub45,i,s,25%,75%,0.875
sub45,i,s,75%,25%,0.5
sub45,i,s,75%,75%,0.7766990291262136
sub46,c,r,25%,25%,0.912621359223301
sub46,c,r,25%,75%,0.9375
sub46,c,r,75%,25%,1
sub46,c,r,75%,75%,0.9166666666666666
sub46,c,s,25%,25%,0.8125
sub46,c,s,25%,75%,0.8333333333333334
sub46,c,s,75%,25%,0.9611650485436893
sub46,c,s,75%,75%,1
sub46,i,r,25%,25%,1
sub46,i,r,25%,75%,0.8932038834951457
sub46,i,r,75%,25%,0.8333333333333334
sub46,i,r,75%,75%,0.875
sub46,i,s,25%,25%,0.7916666666666666
sub46,i,s,25%,75%,0.75
sub46,i,s,75%,25%,0.6875
sub46,i,s,75%,75%,0.8737864077669902
sub47,c,r,25%,25%,0.9805825242718447
sub47,c,r,25%,75%,1
sub47,c,r,75%,25%,0.9375
sub47,c,r,75%,75%,1
sub47,c,s,25%,25%,0.9375
sub47,c,s,25%,75%,1
sub47,c,s,75%,25%,0.9902912621359223
sub47,c,s,75%,75%,1
sub47,i,r,25%,25%,1
sub47,i,r,25%,75%,0.883495145631068
sub47,i,r,75%,25%,0.75
sub47,i,r,75%,75%,0.8125
sub47,i,s,25%,25%,0.7916666666666666
sub47,i,s,25%,75%,0.5
sub47,i,s,75%,25%,0.8125
sub47,i,s,75%,75%,0.8640776699029126
sub48,c,r,25%,25%,1
sub48,c,r,25%,75%,0.875
sub48,c,r,75%,25%,0.9375
sub48,c,r,75%,75%,0.9583333333333334
sub48,c,s,25%,25%,1
sub48,c,s,25%,75%,0.6666666666666666
sub48,c,s,75%,25%,0.941747572815534
sub48,c,s,75%,75%,0.8125
sub48,i,r,25%,25%,0.8125
sub48,i,r,25%,75%,0.9320388349514563
sub48,i,r,75%,25%,0.9166666666666666
sub48,i,r,75%,75%,0.9375
sub48,i,s,25%,25%,0.7916666666666666
sub48,i,s,25%,75%,0.6875
sub48,i,s,75%,25%,0.75
sub48,i,s,75%,75%,0.7475728155339806
sub49,c,r,25%,25%,1
sub49,c,r,25%,75%,1
sub49,c,r,75%,25%,1
sub49,c,r,75%,75%,1
sub49,c,s,25%,25%,1
sub49,c,s,25%,75%,1
sub49,c,s,75%,25%,1
sub49,c,s,75%,75%,0.875
sub49,i,r,25%,25%,0.9375
sub49,i,r,25%,75%,0.9902912621359223
sub49,i,r,75%,25%,0.9583333333333334
sub49,i,r,75%,75%,0.75
sub49,i,s,25%,25%,0.8333333333333334
sub49,i,s,25%,75%,0.9375
sub49,i,s,75%,25%,1
sub49,i,s,75%,75%,0.8446601941747572
sub5,c,r,25%,25%,0.970873786407767
