subject,distractorType,taskSequence,switchProp,distractorProp,mean_acc
sub37,d,r,25%,75%,1
sub37,d,r,75%,25%,1
sub37,d,r,75%,75%,0.9166666666666666
sub37,d,s,25%,25%,1
sub37,d,s,25%,75%,1
sub37,d,s,75%,25%,1
sub37,d,s,75%,75%,0.9166666666666666
sub37,n,r,25%,25%,1
sub37,n,r,25%,75%,1
sub37,n,r,75%,25%,1
sub37,n,r,75%,75%,1
sub37,n,s,25%,25%,0.9166666666666666
sub37,n,s,25%,75%,1
sub37,n,s,75%,25%,0.9166666666666666
sub37,n,s,75%,75%,1
sub38,d,r,25%,25%,1
sub38,d,r,25%,75%,0.9166666666666666
sub38,d,r,75%,25%,1
sub38,d,r,75%,75%,1
sub38,d,s,25%,25%,0.75
sub38,d,s,25%,75%,1
sub38,d,s,75%,25%,0.9166666666666666
sub38,d,s,75%,75%,1
sub38,n,r,25%,25%,1
sub38,n,r,25%,75%,0.9166666666666666
sub38,n,r,75%,25%,0.8333333333333334
sub38,n,r,75%,75%,1
sub38,n,s,25%,25%,1
sub38,n,s,25%,75%,1
sub38,n,s,75%,25%,0.9166666666666666
sub38,n,s,75%,75%,1
sub39,d,r,25%,25%,1
sub39,d,r,25%,75%,1
sub39,d,r,75%,25%,0.75
sub39,d,r,75%,75%,1
sub39,d,s,25%,25%,1
sub39,d,s,25%,75%,1
sub39,d,s,75%,25%,0.9166666666666666
sub39,d,s,75%,75%,0.9166666666666666
sub39,n,r,25%,25%,0.9166666666666666
sub39,n,r,25%,75%,1
sub39,n,r,75%,25%,1
sub39,n,r,75%,75%,0.9166666666666666
sub39,n,s,25%,25%,0.8333333333333334
sub39,n,s,25%,75%,1
sub39,n,s,75%,25%,0.9166666666666666
sub39,n,s,75%,75%,0.9166666666666666
sub4,d,r,25%,25%,1
sub4,d,r,25%,75%,1
sub4,d,r,75%,25%,1
sub4,d,r,75%,75%,1
sub4,d,s,25%,25%,1
sub4,d,s,25%,75%,1
sub4,d,s,75%,25%,1
sub4,d,s,75%,75%,1
sub4,n,r,25%,25%,1
sub4,n,r,25%,75%,1
sub4,n,r,75%,25%,1
sub4,n,r,75%,75%,1
sub4,n,s,25%,25%,1
sub4,n,s,25%,75%,1
sub4,n,s,75%,25%,1
sub4,n,s,75%,75%,1
sub40,d,r,25%,25%,0.9166666666666666
sub40,d,r,25%,75%,1
sub40,d,r,75%,25%,1
sub40,d,r,75%,75%,1
sub40,d,s,25%,25%,0.9166666666666666
sub40,d,s,25%,75%,0.9166666666666666
sub40,d,s,75%,25%,0.75
sub40,d,s,75%,75%,0.9166666666666666
sub40,n,r,25%,25%,0.9166666666666666
sub40,n,r,25%,75%,1
sub40,n,r,75%,25%,1
sub40,n,r,75%,75%,1
sub40,n,s,25%,25%,1
sub40,n,s,25%,75%,0.9166666666666666
sub40,n,s,75%,25%,1
